sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s62174,29260,BY245,2017-11-15,145.836941,-37.690535,,45,30.97,0.201,215,2.64,4.29,0.74,0.08,0.05,1,4.6,3.9,39,80,48.32,20.71,71.4,2.5,,54
s62176,31612,BY245,2018-04-19,145.369391,-38.055921,,30,20.63,0.108,46,0.653,3.49,1.39,0.25,0.16,12,3.65,4.3,25,113,46.19,33.18,27.6,2.5,,51
s7031,39685,A64JH,2011-10-30,136.7403888,-31.24283403,,4,31.06,2.349,191,1e-10,17.78,4.83,1.53,10.11,12,0.86,7.6,21,598,47.87,21.07,19.7,3,Shrubland,0
s7035,53738,A64JH,2011-10-30,134.6857167,-29.00203333,,1e-10,17.54,0.064,236,1e-10,8.99,3.36,1.21,1.68,1e-10,0.29,6.6,9,474,62.91,19.55,4.2,2.5,Grassland,0
s7037,31401,A64JH,2011-10-31,133.5572333,-27.23993333,,1e-10,7.87,0.022,340,1e-10,1.67,0.93,0.38,0.08,3,0.52,6,8,156,88.16,3.96,3.3,2,Shrubland,5.000000000000004
s7039,70432,A64JH,2011-10-31,133.24855,-25.70963333,,1,6.95,0.032,501,1e-10,1.89,0.67,0.51,0.03,8,0.25,6,8,198,90.05,3,3,2,Shrubland,1.0000000000000009
s7041,147911,A64JH,2011-10-31,132.6421,-22.91015,,3,10.99,0.046,561,1e-10,3.41,2.72,0.66,0.06,8,0.36,6.7,4,258,84,5.02,3.2,2,Shrubland,1.0000000000000009
s7043,52811,A64JH,2011-01-11,132.6403667,-23.25241667,,1e-10,13.16,0.02,588,1e-10,4.25,1.39,0.6,0.03,4,0.62,6.1,28,256,83.79,3.05,2.8,2,Shrubland,2.0000000000000018
s7045,48607,A64JH,2011-01-11,132.6242,-22.914,,1e-10,18.1,0.346,560,1e-10,1.19,1.03,0.82,1.48,10,0.26,7.8,3,322,75.85,6.05,88.1,1.5,Other,2.0000000000000018
s7047,45053,A64JH,2011-02-11,132.0354,-22.43503333,,4,12.98,0.021,634,0.448,1.02,0.34,0.49,0.04,3,0.69,4.6,9,193,83.02,4.01,4.8,3,Savannah,1.0000000000000009
s7049,52524,A64JH,2011-02-11,131.1041333,-21.70758333,,2,14.67,0.014,514,0.249,1.43,0.77,0.32,0.08,1,0.63,5,5,138,83.36,1.96,2.6,2,Grassland,2.0000000000000018
s7051,34566,A64JH,2011-04-11,130.0357667,-20.2924,,4,24.59,6.1,333,1e-10,3.46,5.01,1.26,20.73,3,0.74,7.4,12,493,72.33,3.08,1783.4,3,Grassland,0
s7053,82220,A64JH,2011-04-11,129.9691167,-20.27151667,,1,11.07,0.019,347,0.231,1.4,0.58,0.25,0.04,4,0.52,5,2,99,84.88,4.05,3.4,2,Shrubland,2.0000000000000018
s7055,70342,A64JH,2011-04-11,129.9873167,-20.28805,,1,3.36,0.117,337,0.117,0.98,0.37,0.18,0.4,3,0.23,5.4,2,77,95.5,1.14,2.5,1.5,Shrubland,1.0000000000000009
s7059,75213,A64JH,2011-07-11,127.8730167,-17.87356667,,1e-10,12.78,0.029,347,1e-10,6.42,2.23,0.42,0.02,1,0.94,6.3,13,264,68.47,18.75,2.5,3,Shrubland,0
s7061,350993,A64JH,2011-08-11,125.2178,-17.67413333,,1,16.23,0.138,200,1e-10,20.91,2.41,0.52,0.12,5,1.71,7.8,10,203,67.48,16.29,4.8,3,Grassland,1.0000000000000009
s7063,77907,A64JH,2011-09-11,123.7349,-17.50701667,,3,5.91,0.016,26,0.19,1.35,0.22,0.12,0.01,3,1.06,5.4,1e-10,45,93.1,0.99,1.9,1.5,Woodland,13.00000000000001
s7065,1194857,A64JH,2011-10-11,120.68075,-19.76865,,1e-10,3.95,0.042,7,1e-10,2.31,0.58,0.08,0.08,7,0.6,6.9,4,29,95.05,1,3.6,1.5,Shrubland,14.000000000000012
s7067,83851,A64JH,2011-11-11,116.8285667,-21.11651667,,1e-10,14.87,0.118,93,1e-10,17.77,2.85,0.59,0.04,2,0.66,7.8,6,248,72.2,12.93,2.4,3,Grassland,0
s7069,150160,A64JH,2011-11-21,118.08065,-22.57065,,8,26.9,0.093,736,0.069,3.12,1.12,0.5,0.19,2,0.49,5.1,3,196,63.77,9.33,9.3,3,Grassland,5.000000000000004
s7075,185354,A64JH,2011-11-17,120.5461667,-28.05051667,,1e-10,12.08,0.148,523,1e-10,11,2.9,0.36,0.12,3,0.71,7.7,4,159,79.83,8.09,10.6,3,Shrubland,0
s7077,266347,A64JH,2011-11-17,120.5453166,-28.05314507,,5,7.99,0.02,529.6,0.21,1.19,0.39,0.29,0.06,2,0.86,4.7,3,116,89,3.01,5.7,2.5,Shrubland,0
s7079,77797,A64JH,2011-11-22,121.2342833,-28.17221667,,8,6.81,0.123,512,0.167,1.46,0.56,0.3,0.06,22,0.47,5.2,4,123,92.21,0.98,16,2,Shrubland,4.0000000000000036
s7081,164836,A64JH,2011-11-24,121.0622833,-30.4051,,2,19.26,0.432,449,1e-10,14.06,8.46,1.1,2.11,8,1.37,7.8,5,435,67.53,13.21,13.3,3,Savannah,18.999999999999993
s7083,109591,A64JH,2011-11-26,116.4136333,-32.82003333,,8,7.21,0.056,329,0.313,9.93,2.32,0.34,0.28,2,4.96,5,6,133,86.57,6.22,17,3,Woodland,42.99999999999999
s7085,179289,A64JH,2011-11-30,116.4591,-32.58886667,,4,7.12,0.075,390,0.548,2.36,0.56,0.11,0.08,1,2.85,4.4,2,44,89.8,3.07,23.8,1.5,Woodland,36.00000000000001
s7087,42117,A64JH,2011-02-12,121.7603,-32.15871667,,3,7.65,32.14,265,1e-10,16.88,28.27,1.15,128.31,3,0.82,8.1,20,563,86.58,5.77,4895,3,Other,0
s7089,111794,A64JH,2011-02-12,121.7609,-32.1586,,1e-10,1.15,14.02,267.5,1e-10,91.82,6.87,0.19,37.21,3,0.53,8.8,13,91,95.21,3.64,4332.6,2,Other,0
s7091,196889,A64JH,2011-03-12,126.9831,-31.86331667,,3,17.44,0.264,125,1e-10,21.69,2.32,2.02,0.57,5,1.58,7.7,7,701,66.1,16.46,54.9,2,Grassland,0
s7093,482377,A64JH,2011-03-12,130.9936833,-31.40915,,2,23.67,0.457,56,1e-10,19.57,3.73,3.61,2.82,7,1.87,7.9,32,1413,57.56,18.77,68,2,Grassland,0
s7095,58188,A64JH,2011-04-12,135.3400333,-32.91006667,,1,4.95,0.068,115,1e-10,3.52,0.5,0.15,0.07,2,0.8,7.8,3,59,95.05,1e-10,12.5,1.5,Shrubland,2.0000000000000018
s7826,26552,A79NR,2012-07-19,150.7596025,-35.14194472,,5,8.1,0.055,65.3,1.377,0.99,0.95,0.12,0.2,1e-10,2.45,3.6,1e-10,73,85.75,6.15,4.2,1.5,Shrubland,25
s7827,26561,A79NR,2012-07-25,150.7568768,-35.12809248,,4,6.19,0.024,35.7,0.114,0.84,0.55,0.04,0.05,1e-10,0.98,3.8,1e-10,38,93.81,1e-10,1.7,1.5,Forest,78
s7829,24786,A79NR,2012-07-30,150.7536825,-35.15368962,,7,5.76,0.03,62.4,0.158,0.77,0.49,0.09,0.09,15,0.98,3.6,1e-10,36,94.24,1e-10,2.9,1.5,Woodland,63.000000000000014
s7831,23121,A79NR,2012-07-30,150.7352711,-35.15304021,,6,3.88,0.023,96,0.162,0.86,0.35,0.08,0.05,18,0.83,3.9,1e-10,33,96.12,1e-10,1.8,1.5,Forest,84.00000000000001
s7833,26927,A79NR,2012-08-06,150.7075604,-35.13802306,,5,7.86,0.039,35,1.101,0.12,0.23,0.09,0.1,8,1.51,3.6,1e-10,40,90.15,1.99,4.8,1.5,Woodland,56.00000000000001
s7835,25338,A79NR,2012-08-07,150.6945319,-35.19835466,,3,5.73,0.029,24,0.058,1.09,0.84,0.11,0.17,1e-10,0.92,4.7,1e-10,47,92.33,1.94,2,1.5,Shrubland,37.000000000000014
s7837,23617,A79NR,2012-08-14,150.7250605,-35.16259382,,4,3.81,0.035,132,0.114,1.01,0.49,0.05,0.08,1e-10,1.23,3.9,1e-10,21,92.29,3.9,2.7,1.5,Forest,86.00000000000001
s7839,22931,A79NR,2012-08-17,150.6583748,-35.12804944,,6,8.14,0.046,5,0.636,3.73,1.53,0.18,0.13,3,2.55,3.9,7,89,91.86,1e-10,3.5,1.5,Forest,86.00000000000001
s7841,26230,A79NR,2012-09-18,150.68313,-35.13925298,,4,7.9,0.044,65,0.998,0.28,0.26,0.09,0.11,1e-10,1.74,3.8,1e-10,49,92.1,1e-10,3.9,1.5,Shrubland,32.00000000000001
s7843,21753,A79NR,2012-09-24,150.6486994,-35.15122799,,2,2.88,0.017,22,0.143,0.88,0.21,0.07,0.05,1e-10,0.47,4.1,1e-10,45,97.12,1e-10,1.8,1.5,Forest,74
s7845,26653,A79NR,2012-10-03,150.6369569,-35.15913962,,4,7.91,0.049,10,0.033,4.4,1.05,0.11,0.16,1e-10,0.41,4.7,4,60,92.09,1e-10,3,1.5,Forest,77
s7847,16733,A79NR,2012-10-06,150.6135971,-35.15730226,,3,3.73,0.018,27,0.139,1.39,0.47,0.08,0.09,1e-10,0.98,4,1e-10,34,92.44,3.83,1.5,1.5,Forest,74
s7849,31040,A79NR,2012-10-24,150.7379895,-35.14128158,,5,3.81,0.016,18,0.16,2.66,0.64,0.08,0.14,1e-10,1.54,4.2,1e-10,32,94.24,1.95,1.1,1.5,Grassland,63.000000000000014
s7851,16148,A79NR,2012-10-25,150.686346,-35.14969942,,7,48.62,0.202,64,0.585,0.86,2.1,0.13,1.02,5,0.59,4.2,163,52,30.93,20.44,129,3,Shrubland,55.00000000000001
s7853,33410,A90G8,2012-10-25,150.6731254,-35.1630042,,4,2.92,0.106,6,0.023,3.96,0.6,0.06,0.25,6,0.16,7.7,11,24,97.08,1e-10,10.2,1.5,Shrubland,51
s7855,36590,A90G8,2012-10-25,150.6666743,-35.13674651,,5,5.91,0.021,21,0.28,1,0.51,0.09,0.08,2,1.07,3.7,1e-10,37,94.09,1e-10,2.4,1.5,Forest,51
s7857,45785,A90G8,2012-10-25,150.6326533,-35.16181402,,4,5.72,0.066,28,0.028,4.24,0.35,0.09,0.09,3,0.47,7.5,3,42,94.28,1e-10,3.7,1.5,Shrubland,61.00000000000001
s7859,5376,A90G8,2012-10-26,150.5940691,-35.17371885,,8,15.82,8.893,1,0.016,3.36,9.64,0.87,29.52,6,2.06,6.2,3,338,84.18,1e-10,724.6,1.5,,58.00000000000001
s7861,40574,A90G8,2012-10-26,150.5943242,-35.17363378,,6,11.81,1.23,6,0.012,4.47,4.25,0.35,5.79,10,1.61,6.6,4,137,86.2,1.99,115.9,1.5,Marsh/bog,58.00000000000001
s7863,44025,A90G8,2012-10-26,150.5937279,-35.17710152,,5,8.25,0.188,7,0.011,28.89,3.02,0.16,0.35,24,3.48,7.2,10,78,83.4,8.35,10.1,1.5,Marsh/bog,58.00000000000001
s7882,7334,A90G8,2013-01-22,118.76062,-34.11782,,3,3.96,0.068,221.5,0.128,1.93,0.58,0.08,0.29,1,1.25,4.7,3,32,94.04,2,5.4,1.5,Woodland,6.000000000000005
s7884,37044,A90G8,2013-03-06,118.7604917,-34.1171975,,7,5.01,0.128,222.4,0.181,1.38,0.7,0.14,0.37,17,1.4,4.5,20,56,90.95,4.05,8.4,1.5,Other,6.000000000000005
s7886,34629,A90G8,2013-03-06,118.7615269,-34.11718167,,3,2.94,0.024,224,0.14,0.72,0.3,0.09,0.11,1e-10,0.78,4.5,1e-10,35,94.07,2.99,4,1.5,Woodland,7.000000000000006
s7888,50682,A64JJ,2013-07-30,148.80225,-35.431,,4,13.21,0.032,1145,1.903,0.6,0.35,0.47,0.04,1e-10,2.52,4.5,4,217,69.44,17.35,2.1,2,Forest,71
s7890,32129,A90G8,2013-03-07,118.7199589,-32.24144139,,4,14.18,0.122,357.7,0.115,1.97,2.22,0.32,0.88,2,1.66,4.7,14,148,78.7,7.12,13.6,2,Other,3.0000000000000027
s7892,39034,A90G8,2013-03-07,118.7205022,-34.24008889,,3,23.26,0.198,119.2,0.234,2.09,3.52,0.45,1.6,1,2.11,4.8,7,207,67.61,9.12,12.7,2.5,Woodland,13.00000000000001
s7894,31590,A90G8,2013-03-07,118.7210419,-34.24156056,,2,30.01,0.373,116.7,0.162,3.59,6.6,0.5,2.77,1e-10,2.2,5.7,3,214,64.98,5.01,25.5,2.5,Woodland,13.00000000000001
s7896,36555,A90G8,2013-03-18,118.8528247,-34.08631806,,2,9.16,0.127,179.7,0.071,9.94,2.5,0.74,0.41,22,2.49,5.7,10,304,81.63,9.21,12.1,2,Woodland,15.000000000000014
s7898,28577,A79NR,2013-03-18,118.8512286,-34.08486778,,2,7.6,0.069,181.3,0.219,3.77,0.6,0.51,0.08,26,1.12,4.8,22,224,88.55,3.85,7.1,2,Woodland,15.000000000000014
s7900,35271,A79NR,2013-03-18,118.8501972,-34.08451028,,6,7.72,0.092,180.6,0.307,3.48,0.67,0.48,0.1,30,1.13,4.5,36,196,90.33,1.95,6.5,2,Grassland,15.000000000000014
s7902,31115,A79NR,2013-03-19,118.8708528,-34.07607972,,2,23.52,0.382,192.7,0.207,6.94,6.53,0.7,3.11,11,0.93,8.1,28,275,70.57,5.91,13.6,1.5,Other,14.000000000000012
s7904,34027,A79NR,2013-03-19,118.8686719,-34.07723778,,3,9.68,0.114,192.8,0.103,2.16,1.42,0.13,0.69,1e-10,1.86,5,4,49,88.36,1.96,10,1.5,Woodland,13.00000000000001
s7906,29212,A79NR,2013-03-19,118.8695336,-34.07456278,,3,8,0.071,193.3,0.107,2.02,1.47,0.15,0.6,5,1.44,5.2,21,60,88.98,3.02,4.8,1.5,Woodland,14.000000000000012
s7908,35870,A79NR,2013-03-20,118.8603189,-34.0944175,,2,9.6,0.055,187.8,0.307,1.61,0.56,0.07,0.18,7,1.49,4.4,14,28,92.34,1e-10,7.7,1.5,Other,16.999999999999993
s7910,25710,A79NR,2013-03-20,118.8600872,-34.09390556,,3,8.02,0.032,188.1,0.216,2.23,0.55,0.1,0.15,6,1.84,4.6,11,40,94.01,1e-10,3.2,1.5,Woodland,16.999999999999993
s7912,33356,A79NR,2013-03-20,118.8614839,-34.09445056,,2,8.01,0.068,185.4,0.222,2.29,1.08,0.12,0.24,1,1.59,4.8,2,46,90.98,1.01,5.7,1.5,Woodland,16.999999999999993
s7914,26192,A79NR,2013-04-14,118.7278044,-34.30320667,,4,6.94,0.033,115.9,0.177,2.03,0.57,0.15,0.09,8,1.34,4.7,4,59,92.06,1,3.6,1.5,Other,15.999999999999993
s7916,32682,A79NR,2013-04-14,118.7302858,-34.30374389,,3,7.99,0.039,112.5,0.224,1.98,0.67,0.2,0.17,1,1.33,4.6,4,76,91.01,1,6.5,1.5,Woodland,9.000000000000007
s7918,27850,A79NR,2013-04-15,118.7312828,-34.303255,,3,6.96,0.041,107.8,0.166,2.57,0.95,0.24,0.14,1e-10,1.16,5,2,102,90.03,3.01,5.3,1.5,Woodland,9.000000000000007
s7920,57777,A5P6W,2013-08-05,115.15305,-30.0912,,3,3.9,0.02,188,0.052,2.55,0.44,0.06,0.07,1e-10,1.56,4.9,1e-10,25,96.1,1e-10,3.4,1.5,Shrubland,15.999999999999993
s7922,31920,A5P6W,2013-08-05,115.1639167,-30.10295,,5,2.94,0.035,233,0.089,2.19,0.4,0.09,0.07,2,0.89,5,1e-10,34,96.06,1,4.6,1.5,Shrubland,13.00000000000001
s8076,50293,A5P6W,2013-08-06,115.2115667,-30.18156667,,4,10.22,0.03,176,0.054,1.67,0.87,0.26,0.13,1e-10,1.16,5.2,3,113,78.48,11.3,4.1,2.5,Woodland,39.000000000000014
s8078,46766,A5P6W,2013-08-06,115.2134333,-30.17106667,,4,31.97,0.098,184,0.11,7.02,8.21,0.87,0.88,2,3.47,5.2,5,342,49.02,19.01,7.1,2.5,Woodland,37.000000000000014
s8080,71290,A5P6W,2013-08-06,115.2526,-30.16913333,,2,1.92,0.024,207,0.075,1.57,0.34,0.06,0.04,1e-10,0.93,5,1e-10,22,97.1,0.98,3.1,1.5,Woodland,30.000000000000004
s8082,40622,A5P6W,2013-08-06,115.2499,-30.15863333,,1,3.88,0.017,208,0.078,1.76,0.31,0.06,0.03,1,1.01,4.7,1e-10,23,95.14,0.98,2.1,1.5,Woodland,34.00000000000001
s8084,67422,A5P6W,2013-08-06,115.2585167,-30.11188333,,4,10.17,0.027,178,0.121,2.9,0.74,0.31,0.1,2,1.37,4.9,3,138,82.68,7.15,3.1,1.5,Woodland,39.000000000000014
s8086,34315,A64JJ,2013-08-06,115.1575167,-30.1363,,2,3.88,0.031,126,0.033,3.56,1.14,0.15,0.1,1e-10,1.93,5.3,3,59,94.16,1.96,3.6,1.5,Woodland,35.00000000000001
s8088,35862,A64JJ,2013-08-07,115.02035,-30.04105,,2,26.63,1.459,10,0.003,23.14,12.05,0.68,7.53,5,3.8,8.1,12,266,40.91,32.46,665.8,3,Woodland,24
s8090,91036,A64JJ,2013-08-07,115.0423,-30.0489,,2,3.91,0.026,25,0.087,3.34,0.52,0.12,0.08,2,0.62,7.1,1e-10,46,94.1,1.98,3.3,1.5,Heathland,31.000000000000007
s8091,43953,A64JJ,2013-08-07,115.0423,-30.0489,,2,4.87,0.019,25,0.161,1.5,0.32,0.09,0.03,1e-10,0.22,7.7,1e-10,35,94.15,0.98,3.6,1.5,Heathland,31.000000000000007
s8093,231963,AC9CM,2013-08-07,115.07605,-30.07161667,,1,4.86,0.033,58,0.148,1.2,0.25,0.07,0.03,1e-10,0.2,7.1,1e-10,26,94.16,0.98,32.7,1.5,Heathland,30.000000000000004
s8095,145513,AC9CM,2013-08-07,115.0195167,-30.13483333,,1e-10,6.8,1.359,5,0.001,7.33,3.64,0.18,4.79,1e-10,0.22,8.7,2,70,90.26,2.94,389.5,1.5,Other,21.999999999999996
s8097,406206,A64JJ,2013-08-07,115.1268,-30.18305,,1,2.92,0.011,80,0.01,1.61,0.35,0.05,0.06,1e-10,0.82,4.6,1e-10,18,97.08,1e-10,17.6,1.5,Shrubland,37.000000000000014
s8099,79750,A64JJ,2013-08-07,115.08955,-30.14106667,,1,3.89,0.018,49,0.042,0.81,0.15,0.07,0.02,1e-10,0.19,6.2,1e-10,26,94.14,1.97,7.4,1.5,Shrubland,27
s8101,36080,A64JJ,2013-08-08,115.1160833,-30.10666667,,1e-10,0.94,0.019,165,0.046,1.23,0.24,0.05,0.03,1e-10,0.51,5.6,1e-10,21,96.09,2.97,5.3,1.5,Shrubland,18.999999999999993
s8102,78068,A64JJ,2013-08-09,115.1745833,-30.16111667,,2,2.95,0.025,252,0.046,2.51,0.49,0.08,0.04,1e-10,1.6,4.9,1e-10,31,95.05,2,4.6,1.5,Shrubland,33.00000000000001
s8104,45043,A64JJ,2013-08-09,115.1499833,-30.10953333,,4,2.95,0.019,269,0.045,4.24,0.74,0.08,0.06,1e-10,1.93,5,2,29,96.05,1,4.5,1.5,Shrubland,28.000000000000004
s8106,127852,A64JJ,2013-08-09,115.15015,-30.10658333,,1,6.12,0.025,270,0.099,2.7,0.43,0.1,0.04,1e-10,1.33,5.4,1e-10,40,92.85,1.03,5.5,1.5,Shrubland,28.000000000000004
s8108,165358,AAVYC,2013-12-04,119.1615556,-33.85677778,,1e-10,3.9,0.012,308.5,0.041,1.12,0.24,0.05,0.05,1e-10,0.9,5,1e-10,19,95.12,0.99,2.1,1.5,Shrubland,0
s8110,151959,AAVYC,2013-12-04,119.2123056,-34.00033333,,1,4.96,0.017,231.4,0.135,0.88,0.29,0.05,0.05,1e-10,0.94,4.6,1e-10,21,94.03,1,2.8,1.5,Shrubland,14.000000000000012
s8112,89552,AAVYC,2013-12-05,119.2883889,-34.02369444,,1e-10,2.95,0.012,142.4,0.047,1.16,0.25,0.05,0.04,1e-10,0.86,4.9,1e-10,19,96.05,1,2.3,1.5,Shrubland,15.000000000000014
s8114,86210,AAVYC,2013-12-05,119.4063333,-34.08769444,,1e-10,5.05,0.035,82.7,0.019,1.51,0.52,0.14,0.19,1e-10,0.88,5.2,1e-10,57,91.9,3.06,3,1.5,Woodland,8.000000000000007
s8116,70742,AAVYC,2013-12-05,119.5756944,-34.16769444,,1e-10,5.88,0.026,24.7,0.079,0.71,0.44,0.1,0.11,1e-10,0.72,4.7,1e-10,41,94.12,1e-10,2.6,1.5,Heathland,21.999999999999996
s8118,262984,AAVYC,2013-12-06,119.3947222,-34.33977778,,1,6.99,0.043,38.9,0.075,1.02,0.91,0.13,0.26,1e-10,1.17,4.9,1e-10,51,89.99,3.02,5,1.5,Heathland,39.000000000000014
s8120,160615,AAVYC,2013-12-06,119.304,-34.21647222,,4,3.94,0.025,80.6,0.068,1.1,0.28,0.07,0.05,1e-10,0.99,4.7,1e-10,28,95.06,1,4.2,1.5,Heathland,33.00000000000001
s8122,84250,AAVYC,2013-12-06,119.4254444,-34.19216667,,1,4.95,0.021,98.3,0.08,1.95,0.48,0.07,0.09,1e-10,1.48,4.6,1e-10,27,94.05,1,3,1.5,Heathland,2.0000000000000018
s8124,151267,AAVYC,2013-12-07,119.3412778,-34.38108333,,3,5.84,0.035,32.3,0.107,1.19,0.62,0.11,0.15,1e-10,0.87,4.7,1e-10,44,92.2,1.96,3.3,1.5,Woodland,15.000000000000014
s8126,128833,AAVYC,2013-12-07,119.4345278,-33.80952778,,1,11.8,0.017,251.1,0.088,1.6,0.61,0.18,0.07,1,0.94,5.2,1e-10,72,84.25,3.95,3.2,2,Heathland,11.00000000000001
s8128,281248,AAVYC,2013-12-07,119.7221389,-33.72838889,,2,3.87,0.015,289.9,0.09,1.25,0.32,0.08,0.05,2,1.26,4.6,1e-10,32,94.16,1.96,3.1,1.5,Shrubland,15.000000000000014
s8130,238543,AAVYC,2013-12-07,119.7616944,-33.68836111,,1e-10,5.8,0.07,261.9,0.068,1.08,0.49,0.09,0.27,1e-10,0.59,5,1e-10,34,92.26,1.95,6.3,1.5,Shrubland,10.000000000000009
s8132,159816,AAVYC,2013-12-08,119.9996667,-33.93133333,,1e-10,5.84,0.022,28.2,0.078,0.4,0.29,0.04,0.14,1e-10,0.36,5.1,1e-10,15,94.16,1e-10,2.2,2,Shrubland,13.00000000000001
s8135,275301,AAVYC,2013-12-08,119.9183889,-33.87711111,,1,3.95,0.013,100.9,0.076,0.84,0.29,0.06,0.06,1e-10,0.77,4.8,1e-10,25,94.05,2,2.5,1.5,Shrubland,36.00000000000001
s8136,41319,AAVYC,2013-12-08,119.9150556,-33.84713889,,1e-10,4.94,0.013,124.1,0.109,0.7,0.25,0.09,0.04,1e-10,0.88,4.5,3,41,94.07,1,2.8,1.5,Heathland,32.00000000000001
s8138,299126,AC9CM,2014-05-01,149.597527,-30.20071001,,2,43.72,0.146,200.253342,0.114,19.98,8.11,2.08,0.5,22,1.32,6.7,106,825,26.44,26.44,47.1,3,Other,3.0000000000000027
s8140,400445,AC9CM,2014-05-01,149.597556,-30.20055997,,2,40.67,0.168,200.707428,0.094,19.58,7.55,2.19,0.45,15,1.48,6.8,113,839,31.53,31.53,49.2,3,Other,3.0000000000000027
s8142,130696,AC9CM,2014-05-13,149.01165,-35.8748166,,7,14.31,0.042,1099,0.411,4.7,1.45,0.49,0.02,1e-10,2.55,4.7,21,232,60.04,25.65,4,2.5,Woodland,16.999999999999993
s8144,113970,AC9CM,2014-07-21,149.0076,-35.881,,9,25.4,0.062,1093,0.098,10.14,3.56,0.7,0.04,14,4.03,5.1,24,307,46.97,27.63,5.4,2.5,Grassland,34.00000000000001
s8146,117161,AC9CM,2014-07-21,149.0083,-35.881100000000004,,5,12.74,0.04,1111,0.09,9.92,2.43,0.48,0.03,1e-10,3.96,5.1,29,251,63.7,23.55,4.2,2.5,Woodland,34.00000000000001
s8148,129863,AC9CM,2014-07-21,149.0097,-35.8766833,,9,47.08,0.082,1092,0.117,11.68,11.52,0.53,0.44,2,5.18,5,20,206,21.46,31.46,11.6,3,Grassland,16.999999999999993
s8150,156174,AC9CM,2014-07-21,149.01025,-35.8769333,,5,12.23,0.03,1105,0.291,4.82,1.39,0.48,0.04,1e-10,2.51,4.7,19,200,61.17,26.61,2.6,2.5,Woodland,16.999999999999993
s8152,178420,AC9CM,2014-07-22,149.01088,-35.8748666,,8,35.93,0.095,1088,0.133,10.28,7.28,0.6,0.18,17,5.1,4.8,30,255,32.27,31.8,8.3,3,Grassland,16.999999999999993
s8154,30589,A79NR,2012-10-04,131.0423,-25.351,,4,9.87,0.034,500,0.106,2.67,1.17,0.48,0.01,1e-10,0.5,5.7,12,217,86.15,3.99,3,2,Grassland,2.0000000000000018
s8156,23321,A79NR,2012-10-17,131.0368,-25.3564,,1,7.86,0.019,490,0.106,2.98,0.31,0.36,1e-10,1e-10,0.16,6.6,10,156,89.17,2.97,1.6,2,Grassland,2.0000000000000018
s8158,26868,A79NR,2012-10-17,131.0516,-25.3504,,1,11.3,0.015,513,0.101,2.16,0.65,0.36,1e-10,1e-10,0.21,5.7,6,166,88.7,1e-10,1.5,2,Grassland,3.0000000000000027
s8160,26342,A79NR,2012-11-13,131.041,-25.351,,3,7.76,0.048,488,0.057,3.02,1.07,0.51,0.17,1e-10,0.52,5.8,14,231,92.24,1e-10,4.3,2,Grassland,2.0000000000000018
s8162,26682,A79NR,2012-11-13,131.0343,-25.3523,,4,9.51,0.025,493,0.103,2.24,0.9,0.36,0.06,1e-10,0.56,5.2,6,156,88.57,1.92,3.5,2,Grassland,2.0000000000000018
s8164,24404,A79NR,2012-11-12,131.0213,-25.3457,,2,5.9,0.043,514,0.051,5.21,0.42,0.37,1e-10,1,0.3,7.2,13,171,91.13,2.97,2.1,2,Grassland,2.0000000000000018
s8170,22206,A79NR,2012-11-22,131.0403,-25.3374,,1,4.91,0.015,501,0.23,0.91,0.25,0.14,1e-10,1,0.17,5.9,1e-10,55,93.11,1.98,2,2,Grassland,3.0000000000000027
s8172,31685,A79NR,2012-11-22,131.0138,-25.3629,,3,4.88,0,530,0.235,0.99,0.27,0.17,1e-10,1e-10,0.15,5.2,1e-10,67,95.12,1e-10,1.8,2,Grassland,6.000000000000005
s8174,28708,A79NR,2012-11-23,131.0138,-25.3629,,3,10.9,0.012,519,0.356,0.81,0.25,0.27,1e-10,2,0.27,4.5,3,112,88.11,1,2.7,2,Woodland,6.000000000000005
s8180,40462,A90G8,2012-11-07,141.97638,-35.11641,,2,NA,0.082,72,0.066,7.79,2.33,1.28,0.12,11,1.01,6.9,36,501,NA,NA,2.6,2.5,Other,1.0000000000000009
s8182,39328,A90G8,2012-11-07,141.97655,-35.11641,,2,NA,0.079,72,0.036,7.06,1.9,1.29,0.1,10,1.16,7,32,504,NA,NA,3.2,2,Other,1.0000000000000009
s8184,1056670,A64HK,2012-11-07,141.97663,-35.11641,,4,NA,0.167,73,0.037,9,1.98,1.55,0.16,31,1.24,7.5,30,603,NA,NA,4.5,2,Other,1.0000000000000009
s8190,41602,A90G8,2012-02-24,147.17873,-19.733298,,9,9.22,0.042,11,0.041,2.38,1.09,0.21,0.07,4,0.53,6.1,25,83,81.51,9.27,3.8,2.5,Other,0
s8192,39921,A90G8,2012-02-24,149.112782,-21.15956,,10,8.36,0.03,47,0.749,0.64,0.23,0.16,0.06,3,0.79,4.2,89,69,79.02,12.62,3.5,3,Other,2.0000000000000018
s8194,35000,A90G8,2012-11-01,147.17873,-19.733298,,6,10.12,0.042,11,0.061,2.81,1.01,0.21,0.1,5,0.47,5.4,39,82,80.73,9.15,1.8,2.5,Other,0
