sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s12824,165826,A5P6W,2013-10-29,145.6308833,-17.12108333,,14,25.09,0.05,718,1.648,0.33,0.37,0.18,0.06,7,3.23,4.1,8,72,68.62,6.29,6.9,1.5,Forest,85.00000000000001
s12828,79101,A5P6W,2013-10-29,145.61195,-17.1036,,58,21.41,0.081,895,1.182,2.38,0.96,0.32,0.09,3,4.34,4.4,7,123,68.93,9.66,10.8,1.5,Forest,86.00000000000001
s12830,40615,A5P6W,2013-10-29,145.6202167,-17.09208333,,27,28.53,0.079,1129,1.674,0.68,0.47,0.18,0.1,11,4.08,4.1,6,69,57.7,13.76,12.4,1.5,Forest,86.00000000000001
s12832,190479,AAUF6,2013-09-19,152.878317,-27.387599,,10,16.7,0.025,95,0.286,2.05,1.02,0.11,0.09,1,1.73,4.8,5,42,78.29,5.01,3.7,2,Other,43.99999999999999
s12834,207988,AAUF6,2013-09-19,152.87905,-27.387121,,9,20.1,0.03,61,0.16,1.79,0.92,0.1,0.05,5,1.46,4.9,5,39,75.4,4.6,3.2,2,Woodland,43.99999999999999
s12836,227155,AAUF6,2013-09-19,152.878872,-27.386111,,9,23.9,0.03,79,0.06,3.5,0.85,0.23,0.1,3,1.58,5.5,9,89,70.3,5.8,3,2,Grassland,43.99999999999999
s12838,71719,A5P6W,2013-08-21,153.083025,-27.632688,,4,NA,0.024,47,1.021,0.87,0.9,0.1,0.12,1e-10,1.63,4.5,3,38,NA,NA,3,2.5,Forest,54
s12858,395388,AAVYC,2013-09-19,152.878872,-27.386111,,9,23.9,0.03,79,0.06,3.5,0.85,0.23,0.1,3,1.58,5.5,9,89,70.3,5.8,3,2,Grassland,43.99999999999999
s12860,16258,A5P6W,2013-09-11,133.249341,-22.282754,,4,15.959659,0.124,600,0.379,1.02,0.37,0.33,0.56,5,0.54,4.3,5,162,73.731396,10.308945,12.5,2,Shrubland,4.0000000000000036
s12862,46866,A5P6W,2013-09-05,133.613639,-22.288806,,3,0.80904,0.029,600,0.097,3.31,0.58,0.46,0.03,2,0.36,6,5,230,89.637616,9.553344,2.9,2.5,Shrubland,1.0000000000000009
s12876,546241,AAVYC,2013-08-03,135.71916,-14.195246,,NA,NA,0.016,42,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,Savannah,26
s12878,443950,AAVYC,2013-07-21,135.20189,-12.93256,,NA,NA,0.007,98,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,Savannah,26
s12880,406068,AAVYC,2013-07-23,135.81029,-12.50916,,NA,NA,0.012,74,NA,NA,NA,NA,NA,NA,1.17,NA,NA,NA,NA,NA,NA,NA,Savannah,23
s12882,540642,AAVYC,2013-07-18,134.50615,-13.52115,,NA,NA,0.011,171,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,Savannah,23
s12884,294262,A64JJ,2013-09-05,145.029247,-36.673214,,3,NA,0.077,152,0.595,2.56,4.97,0.72,0.7,1,3.13,4.5,6,295,NA,NA,7.2,2.5,Woodland,39.000000000000014
s12886,115116,A64JJ,2013-09-07,145.5755,-36.650436,,4,NA,0.049,151,0.914,2.41,1.91,0.41,0.39,3,2.89,4.3,30,175,NA,NA,6.8,2.5,Grassland,0
s12891,91678,A5P6W,2013-09-23,144.05391,-37.25205,,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,43.99999999999999
s12897,27476,A5P6W,2013-09-12,140.587564,-34.003639,,2,6.62,0.051,75,0.068,4.74,0.93,0.41,0.06,1e-10,0.66,7.2,2,158,93.07,0.31,3.1,2,Forest,16.999999999999993
s12899,119315,A5P6W,2013-09-10,140.3515262,-34.098,,6,10.1,0.168,21,0.054,12.18,7.25,1.09,0.97,1,3.12,5,29,427,38.27,51.63,42.7,2,Forest,0
s12901,37958,A5P6W,2013-09-11,140.728053,-33.971572,,2,5.54,0.076,40,0.042,9.08,1.66,0.86,0.05,1e-10,0.52,8.1,2,332,90.46,4,2.2,2.5,Woodland,6.000000000000005
s12903,351241,AAVYC,2013-12-06,146.6542886,-43.09507123,,10,32.26,0.092,100,4.175,1.19,0.97,0.27,0.13,1,4.62,3.4,8,123,34.03,44.19,10.2,1,Forest,74
s12939,555902,AAVYC,2013-08-01,135.77629,-13.40822,,NA,NA,0.006,50,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,Savannah,14.000000000000012
s13260,44774,A64JJ,2013-10-23,143.85151,-39.9214,,3,24.52,0.374,22,0.022,25.06,8.33,0.21,2.63,8,4.71,7.4,95,91,46.36,29.12,29.2,2.5,Other,25
s13262,117868,A64JJ,2013-10-23,143.90544,-40.10868,,7,15.27,0.171,72,0.08,9.19,1.66,0.34,0.52,5,5.02,5,30,143,69.34,15.38,12.8,2.5,Grassland,32.00000000000001
s13266,193097,AAUF6,2013-10-23,144.11945,-39.93582,,9,8.81,0.052,80,0.086,7.14,1.01,0.11,0.27,3,5.01,4.3,18,59,82.26,8.92,5.5,2.5,Grassland,63.000000000000014
s13268,158509,AAUF6,2013-10-24,144.11969,-39.935,,19,15.93,0.37,79,0.321,3.73,3.22,0.44,2.34,1e-10,4.95,3.3,7,170,68.01,16.06,23.7,2,Woodland,63.000000000000014
s13270,137970,AAUF6,2013-10-24,144.08213,-39.89271,,5,11.28,0.052,35,0.351,2.17,1.26,0.16,0.31,1e-10,4.69,3.2,4,63,81.88,6.84,5,1.5,Shrubland,72
s13272,203248,AAUF6,2013-10-24,144.07319,-39.89131,,13,7.09,0.155,36,0.004,16.06,2.34,0.21,0.23,19,5.03,6.2,24,80,85.71,7.21,9.6,2,Grassland,61.00000000000001
s13274,359003,AAUF6,2013-10-24,143.92897,-39.72931,,5,8.4,0.235,42,0.067,18.25,1.83,0.66,0.21,51,4.84,6.6,126,275,80.97,10.63,14.7,1.5,Grassland,16.999999999999993
s13276,201503,AAUF6,2013-10-25,143.97764,-39.66524,,6,6.26,0.114,42,0.048,5.79,0.98,0.33,0.19,24,2.86,5.2,36,140,89.49,4.25,4.7,1.5,Grassland,4.0000000000000036
s13278,256683,AAUF6,2013-10-25,143.97275,-39.65086,,2,38.3,0.356,28,0.018,84.2,7.04,0.25,1.25,65,6.22,5.6,73,136,38.49,23.21,69,2.5,Grassland,29.000000000000004
s13280,311139,AAUF6,2013-10-25,143.97147,-39.62658,,6,8.09,0.156,33,0.043,10.79,1.14,0.38,0.22,44,2.96,5.9,68,153,91.91,1e-10,9.2,1.5,Grassland,0
s13282,306453,AAUF6,2013-10-26,143.89352,-39.8567,,3,15.64,0.364,45,0.029,15.21,3.06,0.23,1.24,16,4.11,5.9,35,104,79.11,5.26,60.9,1.5,Grassland,9.000000000000007
s13284,210160,AAUF6,2013-10-26,143.89846,-39.85711,,6,8.71,0.123,50,0.088,4.52,0.63,0.2,0.2,11,3.03,5.1,53,78,84.67,6.62,16.3,2.5,Grassland,38.000000000000014
s13286,188130,AAUF6,2013-10-26,143.89126,-39.8644,,6,6.51,0.121,39,0.017,11.73,1.68,0.38,0.28,21,4.11,5,15,150,89.07,4.42,7.2,2,Grassland,6.000000000000005
s13729,241181,AAUF6,2013-10-16,120.6551097,-30.19191,,1e-10,10.8,0.779,437,0.124,12.49,10.41,0.76,7.74,8,0.62,8.5,3,295,38.6,50.6,83.3,3,Woodland,17.999999999999993
s13731,259147,AAUF6,2013-10-16,120.6517306,-30.19158083,,1e-10,19.7,0.125,438,0.097,7.37,6.12,0.63,1.94,1e-10,0.78,6.9,4,245,36.8,43.5,3.8,3,Woodland,20.999999999999996
s13733,176095,AAUF6,2013-10-16,120.6425258,-30.19192056,,1e-10,10.3,0.131,444,0.055,19.63,4.87,1.46,0.37,1,1.3,7.9,9,570,25,64.7,5.7,3,Woodland,19.999999999999996
s13735,162039,AAUF6,2013-10-16,120.6336736,-30.19443861,,1e-10,13.2,0.18,448,0.074,21.22,3.04,1.36,0.21,5,1.82,7.8,10,529,26.2,60.6,7.1,3,Woodland,21.999999999999996
s13737,109253,AAVYC,,132.370453,-15.258583,,4,NA,0.02,NA,0.035,2.46,0.69,0.18,0.03,1e-10,0.92,5.1,3,69,NA,NA,1.5,2,Savannah,27
s13739,128787,AAVYC,,130.794355,-13.179121,,6,NA,0.013,NA,0.781,0.35,1.03,0.08,0.07,1e-10,2.98,4.9,4,33,NA,NA,1.3,1.5,Savannah,30.000000000000004
s138310,84722,J9GNL,2019-11-13,147.301169,-42.8772762,,31,18.9,0.134,125,0.09,20.54,3.68,0.67,0.2,3,4.68,5.7,108,378,72.12,8.98,9.3,1.5,Grassland,53
s138311,86552,J9GNL,2019-11-06,147.2996381,-42.9809723,,9,13.02,0.074,84,0.15,7.22,1.08,0.33,0.12,6,2.5,5.1,104,216,84.97,2.01,6.2,2.0,Grassland,39.000000000000014
s138312,78309,J9GNL,2019-11-13,147.3725192,-42.8625863,,2,19.98,0.116,24,0.04,18.14,3.22,1.1,0.28,13,4.03,5.9,104,551,60.99,19.03,6.8,2.0,Grassland,26
s138313,71052,J9GNL,2019-11-11,147.3173627,-42.99804466,,22,13.64,0.089,47,0.08,9.97,1.58,0.22,0.12,7,3.03,5.3,170,155,82.15,4.21,11.2,1.5,Grassland,35.00000000000001
s138314,99841,J9GNL,2019-11-05,147.2762069,-42.8661306,,10,18.67,0.183,122,0.07,12.71,2.66,0.26,0.25,67,4.81,5.2,72,164,55.72,25.61,22.3,2.0,Grassland,51
s138315,80206,J9GNL,2019-11-06,147.3688304,-42.8785499,,2,15.49,0.072,19,0.03,12.75,1.71,0.12,0.18,2,3.46,5.5,32,70,74.15,10.36,12.9,2.0,Grassland,29.000000000000004
s138316,94134,J9GNL,2019-11-07,147.2880256,-42.8714217,,15,21.19,0.09,193,0.09,10.05,5.37,0.34,0.24,12,1.91,5.5,31,191,69.15,9.65,5.2,2.0,Grassland,40.99999999999999
s138317,64139,J9GNL,2019-11-17,147.3995643,-42.7872219,,1e-10,14.04,0.096,158,0.04,11.32,2.36,0.21,0.18,4,2.26,6.7,19,129,81.92,4.04,6.6,2.0,Grassland,43.99999999999999
s138318,111674,J9GNL,2019-11-05,147.30430199,-42.97291184,,2,28.17,0.115,17,0.21,8.84,4.73,0.52,0.29,22,4.16,4.7,86,322,61.73,10.1,9.5,2.0,Grassland,32.00000000000001
s138319,148729,J9GNL,2019-11-05,147.30830245,-42.98624126,,2,10.92,0.117,130,0.19,9.38,1.62,0.24,0.17,2,3.39,4.8,44,184,83.6,5.48,29,1.5,Grassland,42.99999999999999
